RegionID,MetroArea,StateAbv,Inventory083118,Inventory083119,Inventory083120,InventoryYOYChange
394913,New York,NY,93306,98050,85944,-12106
753899,Los Angeles,CA,30224,31965,25980,-5985
394463,Chicago,IL,51912,54819,45906,-8913
394514,Dallas,TX,35098,40401,33560,-6841
394974,Philadelphia,PA,30679,30314,21745,-8569
394692,Houston,TX,38962,42761,36028,-6733
395209,Washington,DC,26447,25238,19303,-5935
394856,Miami,FL,56185,58693,54453,-4240
394347,Atlanta,GA,36890,41179,36590,-4589
394404,Boston,MA,16641,17532,14971,-2561
395057,San Francisco,CA,8190,9192,9338,146
394532,Detroit,MI,21204,23407,18506,-4901
395025,Riverside,CA,21996,21706,14953,-6753
394976,Phoenix,AZ,25605,25800,20857,-4943
395078,Seattle,WA,14325,15386,11887,-3499
394865,Minneapolis,MN,16746,17689,14888,-2801
395056,San Diego,CA,10310,10676,7958,-2718
395121,St. Louis,MO,15985,14645,11483,-3162
395148,Tampa,FL,20266,20899,16697,-4202
394358,Baltimore,MD,14920,15076,10193,-4883
394530,Denver,CO,12535,14745,12363,-2382
394982,Pittsburgh,PA,12310,10820,9165,-1655
394998,Portland,OR,12148,12827,10383,-2444
394458,Charlotte,NC,12188,13431,9788,-3643
395045,Sacramento,CA,9183,9381,7208,-2173
395055,San Antonio,TX,12310,14374,12552,-1822
394943,Orlando,FL,14010,14988,13523,-1465
394466,Cincinnati,OH,9035,8648,6567,-2081
394475,Cleveland,OH,12367,12222,8719,-3503
394735,Kansas City,MO,12828,10743,7888,-2855
394775,Las Vegas,NV,11839,15428,12514,-2914
394492,Columbus,OH,7738,7557,5756,-1801
394705,Indianapolis,IN,8749,9261,6897,-2364
395059,San Jose,CA,3027,3668,3120,-548
394355,Austin,TX,10428,10814,9094,-1720
395194,Virginia Beach,VA,13854,13018,9581,-3437
394902,Nashville,TN,11980,13657,12548,-1109
395005,Providence,RI,8281,7858,5868,-1990
394862,Milwaukee,WI,5962,6508,5960,-548
394714,Jacksonville,FL,11559,12077,9646,-2431
394849,Memphis,TN,5815,5378,3914,-1464
394935,Oklahoma City,OK,8314,7561,6028,-1533
394807,Louisville,KY,5980,6025,4352,-1673
394669,Hartford,CT,7140,6776,4838,-1938
395022,Richmond,VA,6295,5998,4677,-1321
394910,New Orleans,LA,4511,4758,,-4758
394425,Buffalo,NY,3726,3687,2963,-724
395012,Raleigh,NC,6273,7048,5482,-1566
394388,Birmingham,AL,6753,6401,5029,-1372
395053,Salt Lake City,UT,4685,5317,3947,-1370
395031,Rochester,NY,4200,3885,3124,-761
394640,Grand Rapids,MI,4539,4739,3792,-947
395167,Tucson,AZ,4702,4777,3696,-1081
753924,Urban Honolulu,HI,4482,5105,4536,-569
395169,Tulsa,OK,6632,5556,4305,-1251
394619,Fresno,CA,2608,2786,1851,-935
395238,Worcester,MA,4065,3929,2752,-1177
394415,Stamford,CT,7403,7474,6293,-1181
394312,Albuquerque,NM,4623,4190,3010,-1180
394308,Albany,NY,3260,3154,2380,-774
394938,Omaha,NE,4213,4101,3432,-669
394908,New Haven,CT,4610,4414,3186,-1228
394357,Bakersfield,CA,3082,3059,2468,-591
394753,Knoxville,TN,5264,4880,3664,-1216
394653,Greenville,SC,4543,5124,4033,-1091
394952,Ventura,CA,2594,2694,2046,-648
394318,Allentown,PA,4743,4349,3157,-1192
394561,El Paso,TX,4274,4011,3345,-666
394367,Baton Rouge,LA,5468,5727,4658,-1069
394521,Dayton,OH,3540,3038,2254,-784
394843,McAllen,TX,2326,2582,1973,-609
394486,Columbia,SC,4849,4848,,-4848
394648,Greensboro,NC,3243,2900,2239,-661
394304,Akron,OH,3960,3690,2727,-963
753906,North Port,FL,8917,9233,8037,-1196
394798,Little Rock,AR,5280,4419,4132,-287
395134,Stockton,CA,1950,2202,1469,-733
394457,Charleston,SC,6100,6724,5473,-1251
395143,Syracuse,NY,3376,2941,2011,-930
394484,Colorado Springs,CO,3921,4045,3964,-81
395235,Winston,NC,3236,2758,2169,-589
395224,Wichita,KS,3077,2753,2128,-625
395115,Springfield,MA,2385,2195,1569,-626
394440,Fort Myers,FL,10231,10780,8833,-1947
394399,Boise City,ID,4323,4545,,-4545
395160,Toledo,OH,2819,2450,1890,-560
394816,Madison,WI,3606,3550,3127,-423
394766,Lakeland,FL,3611,4342,3715,-627
394931,Ogden,UT,2554,2938,2064,-874
394528,Daytona Beach,FL,6376,6656,5582,-1074
394531,Des Moines,IA,4770,4886,4155,-731
394711,Jackson,MS,2935,2657,2039,-618
394352,Augusta,GA,3608,3688,2528,-1160
394666,Harrisburg,PA,2692,2415,1737,-678
395006,Provo,UT,2657,3434,2502,-932
394549,Durham,NC,2254,2502,2021,-481
394995,Port St. Lucie,FL,4442,5119,4536,-583
395183,Vallejo,CA,1262,1362,911,-451
394746,Killeen,TX,2228,2172,,-2172
395048,Salem,OR,2041,2429,1890,-539
394927,Ocala,FL,2898,3004,2288,-716
394602,Fort Collins,CO,2423,2342,2153,-189
394405,Boulder,CO,1640,1741,1508,-233
394471,Clarksville,TN,2277,2227,2062,-165
394645,Greeley,CO,1842,1992,1697,-295
394813,Macon,GA,1111,1250,,-1250
394346,Athens,GA,1191,1103,1041,-62
394623,Gainesville,GA,1379,1531,1394,-137
395246,Yuba City,CA,562,628,455,-173
395009,Punta Gorda,FL,2422,2621,2464,-157
395007,Pueblo,CO,816,762,797,35
395094,Sherman,TX,,1005,898,-107
394546,Dunn,NC,865,819,598,-221
395166,Truckee,CA,992,1094,752,-342
395153,The Villages,FL,538,530,727,197
394586,Faribault,MN,,305,276,-29
394309,Albemarle,NC,259,260,181,-79
394742,Kerrville,TX,460,420,382,-38
395091,Shelbyville,TN,234,235,223,-12
395230,Wilmington,OH,,149,110,-39